month,complaint_description,total_requests
2,WPD - Erosion,9
2,EV PIE Station Issues,8
2,Parking Permit- ROW,8
2,Fence/Wall Repair,7
2,SBO - Curb/Gutter Repair,7
2,Basic Needs - Appointment,6
2,CPIO - Community Voices,6
2,Animal Protection - Loose Animal Not Dog,6
2,ARR - On Call Brush,6
2,Austin Code - Construction Ordinance SR,6
2,zz - Coyote Compliants,5
2,APH - Community Connections Coronavirus,5
2,DSD - Billboard Complaint,5
2,Newspaper Rack- ROW,5
2,Flood Report,5
2,SBO - Roadway Spillage,5
2,Dangerous Animal - Except Dogs,4
2,Animal Protection - Animal Trapped in Storm Drain,4
2,Town Lake Debris Issues,4
2,PARD - Commercial Use of Parkland,4
2,Emergency Road Closure Report,4
2,ATD - Pay-by-Phone App,4
2,APD - Non Emergency Hands Free Violation,4
2,CPIO - Community Engagement Project Feedback,4
2,Barricade Request,3
2,Animal Protection - Animal Roadside Sales,3
2,Filming Permit - ROW,3
2,Animal Protection - Dog Restraint Issues,3
2,SBO - Guardrail New/Repair,3
2,Guardrail - New,3
2,ZZ Creek & Pond Vegetation Control,3
2,ARR Dumpster,3
2,AFD - Wildfire Education,3
2,PARD - Aquatic Inquiries/Issues,3
2,PW - School Issues - Crossing Guards,3
2,ZZ CRM - Configuration Test Waheed,3
2,ACD - Billboard Complaint,2
2,APH - Health Equity Line,2
2,Obstruction - Urban Forestry,2
2,EV PIP Residential Rebate,2
2,ACD - Construction Rest Break Complaint,1
2,ACD - Request Code Officer,1
2,Road Sanding Request,1
2,ZZ Mowing Medians,1
2,HD - Neighborhood Home Programs,1
2,Zz_ATD - Construction Items in Right of Way,1
2,PARD - Aquatic Maintenance,1
2,Austin Code - Woodridge Apt,1
2,zCoyote Complaints,1
2,Traffic Engineering - Jurisdiction Issue,1
2,PWD - Mowing Medians,1
2,DSD - Private Hauler License Violation,1
2,SBO - Bridge Repair,1
2,Valet Permit - ROW,1
3,Austin Code - Request Code Officer,17818
3,Traffic Signal - Maintenance,7653
3,Loose Dog,7516
3,ARR Missed Yard Trimmings/Compost,6516
3,ARR - Storm Debris Collection,5561
3,Animal Control - Assistance Request,4914
3,ARR Missed Recycling,4764
3,Injured / Sick Animal,4522
3,Street Light Issue- Address,3936
3,ARR Dead Animal Collection,3854
3,Park Maintenance - Grounds,3473
3,Pothole Repair,3087
3,ARR - Compost,2939
3,ATD - Parking Violation Enforcement,2649
3,APD - Non Emergency Noise/Alarm,2461
3,Loud Commercial Music,2212
3,Wildlife Exposure,1948
3,ARR Missed Yard Trimmings /Organics,1786
3,APD - Vehicle Abatement Report,1720
3,ARR - Garbage,1718
3,APD - Non Emergency Collision,1701
3,Debris in Street,1668
3,Public Health - Graffiti Abatement,1598
3,Code Compliance,1454
3,Graffiti Abatement,1435
3,Animal - Proper Care,1330
3,Parking Machine Issue,1235
3,Animal Bite,1187
3,Sign - Traffic Sign Maintenance,1179
3,Shared Micromobility,1156
3,Parking Violation Enforcement,1155
3,Traffic Signal - Dig Tess Request,1138
3,Found Animal - Pick Up,1127
3,Dockless Mobility,1109
3,Sidewalk Repair,1004
3,Austin Code - Short Term Rental Complaint SR,999
3,Found Animal Report - Keep,985
3,Sign - New,968
3,ATD - Shared Micromobility,965
3,Tree Issue ROW,925
3,Lane/Road Closure Notification,924
